test_id,strategy,k,question,http_status,confiabilidade,tempo_processamento,retrieval_time,llm_time,llm_model,documents_retrieved,evidence_target_present,top_evidence_source,top_evidence_page,top_evidence_score
1,bm25_only,5,Qual o prazo do Produto D?,200,ALTA,0.002264261245727539,0.002264261245727539,0.0,rule_based,5,True,Pontos Principais Discutidos.pdf,3,0.2164
1,vector_only,5,Qual o prazo do Produto D?,200,ALTA,0.1088104248046875,0.10839033126831055,0.0,rule_based,5,True,Pontos Principais Discutidos.pdf,3,0.6978
1,hybrid,5,Qual o prazo do Produto D?,200,ALTA,0.016847848892211914,0.016847848892211914,0.0,rule_based,5,True,Pontos Principais Discutidos.pdf,2,0.5837
1,hybrid_rerank,5,Qual o prazo do Produto D?,200,ALTA,0.4793970584869385,0.4793970584869385,0.0,rule_based,5,True,Pontos Principais Discutidos.pdf,1,0.3351
2,bm25_only,5,Quando o verificador deve entregar o Produto D?,200,ALTA,0.0003230571746826172,0.0003230571746826172,0.0,rule_based,5,False,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.3146
2,vector_only,5,Quando o verificador deve entregar o Produto D?,200,ALTA,0.011075019836425781,0.010073423385620117,0.0,rule_based,5,False,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,4,0.7555
2,hybrid,5,Quando o verificador deve entregar o Produto D?,200,ALTA,0.00926351547241211,0.00926351547241211,0.0,rule_based,5,False,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.964
2,hybrid_rerank,5,Quando o verificador deve entregar o Produto D?,200,ALTA,0.032720327377319336,0.032720327377319336,0.0,rule_based,5,False,Termo de Referência para contratação de Verificadores.pdf,17,0.3374
3,bm25_only,5,Qual o prazo de entrega do relatório mensal de avanço físico de obras?,200,MÉDIA,7.703905344009399,0.0010433197021484375,7.70124888420105,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,3,0.2483
3,vector_only,5,Qual o prazo de entrega do relatório mensal de avanço físico de obras?,200,MÉDIA,1.2086329460144043,0.011265277862548828,1.1973676681518555,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,3,0.736
3,hybrid,5,Qual o prazo de entrega do relatório mensal de avanço físico de obras?,200,MÉDIA,1.3709053993225098,0.00794076919555664,1.3629646301269531,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,3,0.5574
3,hybrid_rerank,5,Qual o prazo de entrega do relatório mensal de avanço físico de obras?,200,MÉDIA,1.2022032737731934,0.029087066650390625,1.1731162071228027,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,1,0.3362
4,bm25_only,5,Qual é o prazo da Concessionária para entregar o relatório mensal (Produto D)?,200,ALTA,0.0020360946655273438,0.0020360946655273438,0.0,rule_based,5,True,Pontos Principais Discutidos.pdf,3,0.2051
4,vector_only,5,Qual é o prazo da Concessionária para entregar o relatório mensal (Produto D)?,200,ALTA,0.007915496826171875,0.007915496826171875,0.0,rule_based,5,True,Pontos Principais Discutidos.pdf,2,0.6923
4,hybrid,5,Qual é o prazo da Concessionária para entregar o relatório mensal (Produto D)?,200,ALTA,0.005036354064941406,0.005036354064941406,0.0,rule_based,5,True,Pontos Principais Discutidos.pdf,4,0.9599
4,hybrid_rerank,5,Qual é o prazo da Concessionária para entregar o relatório mensal (Produto D)?,200,ALTA,0.03486800193786621,0.03486800193786621,0.0,rule_based,5,True,Pontos Principais Discutidos.pdf,3,0.3232
5,bm25_only,5,Quais são os prazos mensais para Concessionária e Verificador?,200,MÉDIA,2.0420875549316406,0.0009701251983642578,2.0411174297332764,qwen2.5:7b,5,True,Termo de Referência para contratação de Verificadores.pdf,19,0.2944
5,vector_only,5,Quais são os prazos mensais para Concessionária e Verificador?,200,MÉDIA,1.2432281970977783,0.0038590431213378906,1.2393691539764404,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,4,0.7682
5,hybrid,5,Quais são os prazos mensais para Concessionária e Verificador?,200,MÉDIA,2.1248018741607666,0.009091377258300781,2.115710496902466,qwen2.5:7b,5,True,Termo de Referência para contratação de Verificadores.pdf,18,0.5766
5,hybrid_rerank,5,Quais são os prazos mensais para Concessionária e Verificador?,200,ALTA,2.168865442276001,0.03069281578063965,2.1375832557678223,qwen2.5:7b,5,False,Termo de Referência para contratação de Verificadores.pdf,18,0.3403
6,bm25_only,5,Qual o primeiro relatório mensal e sua data de entrega?,200,MÉDIA,0.9873788356781006,0.0010111331939697266,0.9863677024841309,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,4,0.277
6,vector_only,5,Qual o primeiro relatório mensal e sua data de entrega?,200,MÉDIA,1.0813281536102295,0.009377002716064453,1.071951150894165,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,1,0.8101
6,hybrid,5,Qual o primeiro relatório mensal e sua data de entrega?,200,MÉDIA,0.9404678344726562,0.01058506965637207,0.9298827648162842,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,4,0.5448
6,hybrid_rerank,5,Qual o primeiro relatório mensal e sua data de entrega?,200,MÉDIA,1.1237502098083496,0.032831430435180664,1.090918779373169,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,2,0.3765
7,bm25_only,5,As comunicações formais devem ocorrer por qual meio?,200,MÉDIA,0.8436787128448486,0.0009961128234863281,0.8426826000213623,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,2,0.3098
7,vector_only,5,As comunicações formais devem ocorrer por qual meio?,200,MÉDIA,1.7758495807647705,0.009706497192382812,1.7661430835723877,qwen2.5:7b,5,True,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,4,0.9322
7,hybrid,5,As comunicações formais devem ocorrer por qual meio?,200,BAIXA,0.9699668884277344,0.014081001281738281,0.9558858871459961,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,2,1.0
7,hybrid_rerank,5,As comunicações formais devem ocorrer por qual meio?,200,INSUFICIENTE,0.769244909286499,0.027187585830688477,0.7375235557556152,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,2,0.5589
8,bm25_only,5,Como deve ser feita a comunicação de emergências?,200,INSUFICIENTE,1.7785685062408447,0.00099945068359375,1.777569055557251,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,3,0.301
8,vector_only,5,Como deve ser feita a comunicação de emergências?,200,INSUFICIENTE,1.0786025524139404,0.00576019287109375,1.0728423595428467,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,18,0.935
8,hybrid,5,Como deve ser feita a comunicação de emergências?,200,MÉDIA,1.2327306270599365,0.011578559875488281,1.2211520671844482,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,3,0.4744
8,hybrid_rerank,5,Como deve ser feita a comunicação de emergências?,200,MÉDIA,1.7305190563201904,0.01985311508178711,1.7106659412384033,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,3,0.3936
9,bm25_only,5,Relatórios devem incluir fotos georreferenciadas? Quais requisitos?,200,ALTA,1.8820157051086426,0.0,1.8820157051086426,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.2969
9,vector_only,5,Relatórios devem incluir fotos georreferenciadas? Quais requisitos?,200,ALTA,2.748767614364624,0.001031637191772461,2.7477359771728516,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,16,0.6391
9,hybrid,5,Relatórios devem incluir fotos georreferenciadas? Quais requisitos?,200,ALTA,2.625981092453003,0.00945425033569336,2.6165268421173096,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.5218
9,hybrid_rerank,5,Relatórios devem incluir fotos georreferenciadas? Quais requisitos?,200,ALTA,2.683953285217285,0.033425331115722656,2.6505279541015625,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.3424
10,bm25_only,5,É necessário manter metadados EXIF ativados nos relatórios?,200,MÉDIA,1.6323704719543457,0.0007157325744628906,1.6316547393798828,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,4,0.3025
10,vector_only,5,É necessário manter metadados EXIF ativados nos relatórios?,200,MÉDIA,1.393819808959961,0.01057887077331543,1.3832409381866455,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,1,0.7801
10,hybrid,5,É necessário manter metadados EXIF ativados nos relatórios?,200,MÉDIA,1.4067556858062744,0.010478734970092773,1.3957018852233887,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,4,0.5645
10,hybrid_rerank,5,É necessário manter metadados EXIF ativados nos relatórios?,200,MÉDIA,1.7294538021087646,0.02536797523498535,1.7040858268737793,qwen2.5:7b,5,True,Pontos Principais Discutidos.pdf,4,0.3548
11,bm25_only,5,Qual o limite de tamanho no SEI e o que fazer se exceder?,200,MÉDIA,1.4247372150421143,0.0,1.4247372150421143,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,1,0.2689
11,vector_only,5,Qual o limite de tamanho no SEI e o que fazer se exceder?,200,INSUFICIENTE,1.137882947921753,0.003448963165283203,1.1344339847564697,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,7,0.9892
11,hybrid,5,Qual o limite de tamanho no SEI e o que fazer se exceder?,200,MÉDIA,1.4033756256103516,0.00967097282409668,1.3937046527862549,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.5343
11,hybrid_rerank,5,Qual o limite de tamanho no SEI e o que fazer se exceder?,200,INSUFICIENTE,2.5288021564483643,0.031294822692871094,2.497507333755493,qwen2.5:7b,5,,Reunião de kick off IMTRAFF - Ecoriominas e Ecoponte.pdf,2,0.0815
12,bm25_only,5,O que é o Produto D?,200,MÉDIA,1.1941463947296143,0.0019087791442871094,1.1922376155853271,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.3221
12,vector_only,5,O que é o Produto D?,200,MÉDIA,1.1626665592193604,0.004021406173706055,1.1586451530456543,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,6,0.9287
12,hybrid,5,O que é o Produto D?,200,BAIXA,0.9739425182342529,0.006125688552856445,0.9678168296813965,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,1,0.9497
12,hybrid_rerank,5,O que é o Produto D?,200,ALTA,1.6775805950164795,0.02965688705444336,1.6479237079620361,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,3,0.3504
13,bm25_only,5,O que é o Produto C e sua periodicidade?,200,INSUFICIENTE,1.979011058807373,0.0009927749633789062,1.9780182838439941,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,2,0.2929
13,vector_only,5,O que é o Produto C e sua periodicidade?,200,ALTA,1.4088776111602783,0.009377241134643555,1.3995003700256348,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,3,0.8649
13,hybrid,5,O que é o Produto C e sua periodicidade?,200,MÉDIA,1.869657278060913,0.00760197639465332,1.8620553016662598,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,2,0.9654
13,hybrid_rerank,5,O que é o Produto C e sua periodicidade?,200,ALTA,1.6759757995605469,0.019736051559448242,1.6562397480010986,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,1,0.3647
14,bm25_only,5,O que é o Produto E no modelo double check?,200,MÉDIA,1.7483327388763428,0.0,1.7483327388763428,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,8,0.2623
14,vector_only,5,O que é o Produto E no modelo double check?,200,ALTA,2.1987576484680176,0.009504318237304688,2.18825364112854,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,17,0.9274
14,hybrid,5,O que é o Produto E no modelo double check?,200,ALTA,3.702873706817627,0.010947942733764648,3.6919257640838623,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,8,0.5411
14,hybrid_rerank,5,O que é o Produto E no modelo double check?,200,MÉDIA,1.6813924312591553,0.031180143356323242,1.6496808528900146,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,17,0.3239
15,bm25_only,5,Qual o prazo do Produto Z?,200,INSUFICIENTE,1.4049277305603027,0.0,1.4049277305603027,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.3102
15,vector_only,5,Qual o prazo do Produto Z?,200,INSUFICIENTE,1.4469425678253174,0.015820980072021484,1.431121587753296,qwen2.5:7b,5,,Reunião de kick off IMTRAFF - Ecoriominas e Ecoponte.pdf,3,0.5803
15,hybrid,5,Qual o prazo do Produto Z?,200,INSUFICIENTE,1.1147913932800293,0.006010293960571289,1.108781099319458,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.4526
15,hybrid_rerank,5,Qual o prazo do Produto Z?,200,INSUFICIENTE,1.6561250686645508,0.03150534629821777,1.624619722366333,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.3033
16,bm25_only,5,Qual a data de início das atividades em campo?,200,MÉDIA,0.8492257595062256,0.0009686946868896484,0.8482570648193359,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.2606
16,vector_only,5,Qual a data de início das atividades em campo?,200,MÉDIA,1.2735095024108887,0.01011204719543457,1.263397455215454,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,15,0.7071
16,hybrid,5,Qual a data de início das atividades em campo?,200,BAIXA,1.1472411155700684,0.006718158721923828,1.1405229568481445,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.9126
16,hybrid_rerank,5,Qual a data de início das atividades em campo?,200,ALTA,2.353105068206787,0.03661680221557617,2.315886974334717,qwen2.5:7b,5,,Apresentação Reunião de Kick-off.pdf,9,0.3637
17,bm25_only,5,Quem é responsável por apresentar plano de trabalho detalhado?,200,MÉDIA,1.198143720626831,0.0009987354278564453,1.1971449851989746,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,0.2698
17,vector_only,5,Quem é responsável por apresentar plano de trabalho detalhado?,200,BAIXA,0.867781400680542,0.005727529525756836,0.8620538711547852,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.7476
17,hybrid,5,Quem é responsável por apresentar plano de trabalho detalhado?,200,MÉDIA,1.0323731899261475,0.011201858520507812,1.0211713314056396,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,1.0
17,hybrid_rerank,5,Quem é responsável por apresentar plano de trabalho detalhado?,200,BAIXA,1.2696824073791504,0.035265207290649414,1.2338223457336426,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,3,0.4792
18,bm25_only,5,Existe reunião mensal de acompanhamento? Qual formato?,200,ALTA,1.9091761112213135,0.0009982585906982422,1.9081778526306152,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,2,0.3095
18,vector_only,5,Existe reunião mensal de acompanhamento? Qual formato?,200,MÉDIA,0.9751195907592773,0.005270719528198242,0.9692974090576172,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,0.7664
18,hybrid,5,Existe reunião mensal de acompanhamento? Qual formato?,200,MÉDIA,0.9602921009063721,0.004814624786376953,0.9554774761199951,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,4,0.5598
18,hybrid_rerank,5,Existe reunião mensal de acompanhamento? Qual formato?,200,BAIXA,1.5288059711456299,0.029135465621948242,1.4996705055236816,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,0.4565
19,bm25_only,5,Quais produtos são acompanhados inicialmente na medida cautelar?,200,INSUFICIENTE,1.7013883590698242,0.001394510269165039,1.6999938488006592,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,6,0.3039
19,vector_only,5,Quais produtos são acompanhados inicialmente na medida cautelar?,200,INSUFICIENTE,1.5557520389556885,0.008730411529541016,1.5470216274261475,qwen2.5:7b,5,,Pontos Principais Discutidos.pdf,5,0.8069
19,hybrid,5,Quais produtos são acompanhados inicialmente na medida cautelar?,200,MÉDIA,1.3060383796691895,0.005181550979614258,1.3008568286895752,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,7,0.8864
19,hybrid_rerank,5,Quais produtos são acompanhados inicialmente na medida cautelar?,200,MÉDIA,2.542083263397217,0.031766414642333984,2.510316848754883,qwen2.5:7b,5,,Termo de Referência para contratação de Verificadores.pdf,6,0.3921
20,bm25_only,5,Quais unidades da ANTT participam das manifestações pós-entrega do relatório?,200,ALTA,2.31506085395813,0.0010023117065429688,2.314058542251587,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,2,0.3002
20,vector_only,5,Quais unidades da ANTT participam das manifestações pós-entrega do relatório?,200,MÉDIA,2.2097690105438232,0.009829282760620117,2.199939727783203,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,4,0.7025
20,hybrid,5,Quais unidades da ANTT participam das manifestações pós-entrega do relatório?,200,INSUFICIENTE,1.8422458171844482,0.0,1.841649055480957,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,5,0.5841
20,hybrid_rerank,5,Quais unidades da ANTT participam das manifestações pós-entrega do relatório?,200,INSUFICIENTE,2.607882022857666,0.03270292282104492,2.575179100036621,qwen2.5:7b,5,,Fluxo Operacional CORODGEFOP – Medida Cautelar deContratação de Verificadores.pdf,5,0.3657
